"","OpenSource","FormalEducation","UndergradMajor","CompanySize","YearsCoding","YearsCodingProf","ConvertedSalary","LanguageWorkedWith","DatabaseWorkedWith","PlatformWorkedWith","FrameworkWorkedWith","OperatingSystem","CheckInCode","WakeTime","HoursOutside","SkipMeals","Exercise","Gender","SexualOrientation","EducationParents","RaceEthnicity","Age"
"17","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","20 to 99 employees","6-8 years","3-5 years","Less than $70,000","8","3","4","1","Windows","Multiple times per day","After 8:01 AM","Over 1 hour","1 - 2 times per week","3 - 4 times per week","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","Others","18 - 24 years old"
"18","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Not related to Computer Science","500 to 999 employees","Less than 6 years","3-5 years","$100,000 - $129,999","4","2","2","1","MacOS","Once a day","Before 6:00 AM","Less than 30 minutes","Never","1 - 2 times per week","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","25 - 34 years old"
"19","No","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Computer Science","10,000 or more employees","6-8 years","3-5 years","$100,000 - $129,999","Less than 4 languages","1","2","1","Windows","Multiple times per day","Between 6:01 - 7:00 AM","30 - 59 minutes","Never","3 - 4 times per week","Male","Straight or heterosexual","Less than or equal to Secondary school","White or of European descent","25 - 34 years old"
"20","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","1,000 to 4,999 employees","6-8 years","3-5 years","Less than $70,000","8","2","2","1","Windows","Multiple times per day","Between 6:01 - 7:00 AM","30 - 59 minutes","Never","I don't typically exercise","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","25 - 34 years old"
"21","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Related to Computer Science","20 to 99 employees","Less than 6 years","0-2 years","$70,000 - $99,999","10","5","1","2","MacOS","Multiple times per day","After 8:01 AM","30 - 59 minutes","Never","1 - 2 times per week","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","25 - 34 years old"
"22","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Related to Computer Science","100 to 499 employees","More than 20 years","18-20 years","More than $160,000","7","more than 5 databases","2","2","MacOS","A few times per week","Between 7:01 - 8:00 AM","Over 1 hour","Never","3 - 4 times per week","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","35 - 44 years old"
"23","Yes","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Not related to Computer Science","20 to 99 employees","Less than 6 years","3-5 years","$100,000 - $129,999","7","more than 5 databases","4","2","MacOS","Multiple times per day","After 8:01 AM","30 - 59 minutes","Never","1 - 2 times per week","Male","Straight or heterosexual","Associate degree","Others","25 - 34 years old"
"24","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","Fewer than 10 employees","9-11 years","3-5 years","Less than $70,000","7","2","1","1","MacOS","A few times per week","Between 7:01 - 8:00 AM","Less than 30 minutes","Never","I don't typically exercise","Male","Straight or heterosexual","Some college/university study without earning a degree","White or of European descent","25 - 34 years old"
"25","No","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Computer Science","1,000 to 4,999 employees","15-17 years","12-14 years","More than $160,000","7","2","1","1","Windows","A few times per week","Before 6:00 AM","Over 1 hour","Never","Daily or almost every day","Male","Straight or heterosexual","Less than or equal to Secondary school","Others","35 - 44 years old"
"26","Yes","Some college/university study without earning a degree","Computer Science","1,000 to 4,999 employees","15-17 years","12-14 years","$130,000 - $159,999","10","3","more than 5 platforms","1","MacOS","Multiple times per day","Before 6:00 AM","Less than 30 minutes","Never","I don't typically exercise","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","25 - 34 years old"
"27","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","10 to 19 employees","Less than 6 years","0-2 years","Less than $70,000","7","2","2","3","Windows","Multiple times per day","Before 6:00 AM","Over 1 hour","3 - 4 times per week","Daily or almost every day","Male","Straight or heterosexual","Associate degree","White or of European descent","18 - 24 years old"
"28","No","Some college/university study without earning a degree","Not related to Computer Science","500 to 999 employees","18-20 years","18-20 years","$100,000 - $129,999","7","2","1","1","Windows","Multiple times per day","Before 6:00 AM","Over 1 hour","Never","3 - 4 times per week","Male","Straight or heterosexual","Less than or equal to Secondary school","Others","35 - 44 years old"
"29","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Related to Computer Science","20 to 99 employees","More than 20 years","More than 20 years","Less than $70,000","8","2","2","1","Windows","Multiple times per day","Between 7:01 - 8:00 AM","30 - 59 minutes","1 - 2 times per week","1 - 2 times per week","Female","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Others","35 - 44 years old"
"30","No","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Computer Science","10 to 19 employees","15-17 years","15-17 years","$70,000 - $99,999","6","4","4","2","Windows","A few times per week","Before 6:00 AM","Less than 30 minutes","Never","I don't typically exercise","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","35 - 44 years old"
"31","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","20 to 99 employees","12-14 years","6-8 years","$70,000 - $99,999","9","4","3","1","Windows","Multiple times per day","Between 6:01 - 7:00 AM","Less than 30 minutes","1 - 2 times per week","I don't typically exercise","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","25 - 34 years old"
"32","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","10 to 19 employees","6-8 years","0-2 years","$100,000 - $129,999","8","1","2","1","Linux-based","Multiple times per day","After 8:01 AM","30 - 59 minutes","Daily or almost every day","1 - 2 times per week","Male","Others","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","18 - 24 years old"
"33","Yes","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Related to Computer Science","10 to 19 employees","6-8 years","3-5 years","$70,000 - $99,999","6","3","3","2","Linux-based","Multiple times per day","Between 6:01 - 7:00 AM","30 - 59 minutes","Never","3 - 4 times per week","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","Others","25 - 34 years old"
"34","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","10,000 or more employees","12-14 years","6-8 years","$100,000 - $129,999","Less than 4 languages","1","1","1","MacOS","Multiple times per day","Between 7:01 - 8:00 AM","Less than 30 minutes","Never","I don't typically exercise","Male","Others","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","25 - 34 years old"
"35","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","1,000 to 4,999 employees","More than 20 years","More than 20 years","$70,000 - $99,999","5","3","1","1","Windows","Multiple times per day","Before 6:00 AM","Over 1 hour","Never","I don't typically exercise","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","45 years or older"
"36","No","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Related to Computer Science","20 to 99 employees","6-8 years","3-5 years","$70,000 - $99,999","5","1","2","1","Linux-based","Less than a few times per month","Between 7:01 - 8:00 AM","Less than 30 minutes","1 - 2 times per week","I don't typically exercise","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","25 - 34 years old"
"37","Yes","Some college/university study without earning a degree","Computer Science","20 to 99 employees","18-20 years","18-20 years","$100,000 - $129,999","8","4","2","1","Windows","Multiple times per day","Between 6:01 - 7:00 AM","30 - 59 minutes","Never","1 - 2 times per week","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","35 - 44 years old"
"38","Yes","Some college/university study without earning a degree","Computer Science","100 to 499 employees","More than 20 years","More than 20 years","$70,000 - $99,999","8","1","more than 5 platforms","3","Linux-based","Multiple times per day","Between 6:01 - 7:00 AM","30 - 59 minutes","Never","1 - 2 times per week","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","35 - 44 years old"
"39","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Related to Computer Science","1,000 to 4,999 employees","9-11 years","9-11 years","$70,000 - $99,999","6","3","1","2","Windows","Multiple times per day","After 8:01 AM","30 - 59 minutes","Daily or almost every day","1 - 2 times per week","Male","Straight or heterosexual","Associate degree","White or of European descent","25 - 34 years old"
"40","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","100 to 499 employees","9-11 years","3-5 years","$70,000 - $99,999","6","4","1","1","Windows","Multiple times per day","Before 6:00 AM","30 - 59 minutes","Never","Daily or almost every day","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","25 - 34 years old"
"41","Yes","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Computer Science","10,000 or more employees","12-14 years","3-5 years","More than $160,000","4","1","3","1","Linux-based","Multiple times per day","After 8:01 AM","Over 1 hour","Never","Daily or almost every day","Male","Straight or heterosexual","Less than or equal to Secondary school","White or of European descent","25 - 34 years old"
"42","Yes","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Computer Science","1,000 to 4,999 employees","18-20 years","15-17 years","More than $160,000","6","1","1","2","Windows","Less than a few times per month","After 8:01 AM","Less than 30 minutes","1 - 2 times per week","I don't typically exercise","Male","Others","Some college/university study without earning a degree","White or of European descent","35 - 44 years old"
"43","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Related to Computer Science","10 to 19 employees","6-8 years","3-5 years","Less than $70,000","6","3","1","2","Windows","Multiple times per day","Between 6:01 - 7:00 AM","Less than 30 minutes","Never","3 - 4 times per week","Male","Straight or heterosexual","Less than or equal to Secondary school","White or of European descent","25 - 34 years old"
"44","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","10,000 or more employees","9-11 years","6-8 years","$70,000 - $99,999","5","1","2","1","Windows","Once a day","Between 7:01 - 8:00 AM","Less than 30 minutes","Daily or almost every day","I don't typically exercise","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","25 - 34 years old"
"45","Yes","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Related to Computer Science","20 to 99 employees","18-20 years","15-17 years","$130,000 - $159,999","4","3","3","1","MacOS","Once a day","Between 7:01 - 8:00 AM","30 - 59 minutes","Never","I don't typically exercise","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","35 - 44 years old"
"46","No","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Related to Computer Science","1,000 to 4,999 employees","18-20 years","15-17 years","$100,000 - $129,999","4","1","1","1","Windows","Less than a few times per month","Between 6:01 - 7:00 AM","30 - 59 minutes","1 - 2 times per week","I don't typically exercise","Male","Straight or heterosexual","Some college/university study without earning a degree","White or of European descent","45 years or older"
"47","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Not related to Computer Science","1,000 to 4,999 employees","Less than 6 years","0-2 years","Less than $70,000","8","2","3","more than 3 frameworks","Windows","A few times per week","Before 6:00 AM","Over 1 hour","1 - 2 times per week","I don't typically exercise","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","25 - 34 years old"
"48","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","1,000 to 4,999 employees","15-17 years","12-14 years","$130,000 - $159,999","5","3","1","1","Windows","Multiple times per day","Before 6:00 AM","Less than 30 minutes","Never","3 - 4 times per week","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","35 - 44 years old"
"49","Yes","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Computer Science","10,000 or more employees","Less than 6 years","3-5 years","$70,000 - $99,999","6","more than 5 databases","4","3","MacOS","A few times per week","Between 7:01 - 8:00 AM","Over 1 hour","3 - 4 times per week","I don't typically exercise","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Others","25 - 34 years old"
"50","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","20 to 99 employees","15-17 years","6-8 years","$100,000 - $129,999","6","1","1","2","MacOS","Multiple times per day","Between 6:01 - 7:00 AM","Over 1 hour","Daily or almost every day","3 - 4 times per week","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","25 - 34 years old"
"51","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Related to Computer Science","5,000 to 9,999 employees","18-20 years","15-17 years","More than $160,000","Less than 4 languages","1","1","1","Windows","A few times per week","Before 6:00 AM","30 - 59 minutes","1 - 2 times per week","I don't typically exercise","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","Others","35 - 44 years old"
"52","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","100 to 499 employees","More than 20 years","More than 20 years","$130,000 - $159,999","6","2","3","2","Windows","A few times per week","After 8:01 AM","30 - 59 minutes","Never","I don't typically exercise","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","45 years or older"
"53","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","1,000 to 4,999 employees","6-8 years","3-5 years","$70,000 - $99,999","6","1","1","1","Windows","Multiple times per day","Between 6:01 - 7:00 AM","Less than 30 minutes","Never","I don't typically exercise","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Others","25 - 34 years old"
"54","Yes","Some college/university study without earning a degree","Not related to Computer Science","100 to 499 employees","15-17 years","9-11 years","$70,000 - $99,999","7","more than 5 databases","4","1","Windows","Multiple times per day","Between 7:01 - 8:00 AM","Less than 30 minutes","1 - 2 times per week","3 - 4 times per week","Male","Straight or heterosexual","Less than or equal to Secondary school","White or of European descent","25 - 34 years old"
"55","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Not related to Computer Science","10,000 or more employees","Less than 6 years","3-5 years","$70,000 - $99,999","10","3","3","3","MacOS","Multiple times per day","Between 7:01 - 8:00 AM","30 - 59 minutes","Never","3 - 4 times per week","Female","Others","Bachelor’s degree (BA, BS, B.Eng., etc.)","Others","25 - 34 years old"
"56","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","10,000 or more employees","9-11 years","3-5 years","$70,000 - $99,999","4","1","4","1","Windows","A few times per week","After 8:01 AM","Less than 30 minutes","1 - 2 times per week","I don't typically exercise","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","25 - 34 years old"
"57","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","10,000 or more employees","Less than 6 years","0-2 years","$100,000 - $129,999","Less than 4 languages","2","1","1","Windows","Multiple times per day","After 8:01 AM","30 - 59 minutes","1 - 2 times per week","1 - 2 times per week","Male","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","18 - 24 years old"
"58","No","Associate degree","Computer Science","1,000 to 4,999 employees","9-11 years","0-2 years","$70,000 - $99,999","6","1","1","1","Windows","Multiple times per day","Between 6:01 - 7:00 AM","30 - 59 minutes","Daily or almost every day","I don't typically exercise","Male","Others","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","25 - 34 years old"
"59","Yes","Some college/university study without earning a degree","Computer Science","100 to 499 employees","9-11 years","6-8 years","$70,000 - $99,999","7","5","2","1","MacOS","A few times per week","After 8:01 AM","Less than 30 minutes","Daily or almost every day","I don't typically exercise","Male","Straight or heterosexual","Less than or equal to Secondary school","White or of European descent","25 - 34 years old"
"60","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","20 to 99 employees","9-11 years","3-5 years","$70,000 - $99,999","10","3","3","1","Windows","Multiple times per day","Between 6:01 - 7:00 AM","30 - 59 minutes","1 - 2 times per week","1 - 2 times per week","Male","Straight or heterosexual","Less than or equal to Secondary school","White or of European descent","25 - 34 years old"
"61","No","Some college/university study without earning a degree","Computer Science","1,000 to 4,999 employees","More than 20 years","12-14 years","$130,000 - $159,999","4","2","1","3","Windows","A few times per week","Between 7:01 - 8:00 AM","Over 1 hour","Never","I don't typically exercise","Male","Straight or heterosexual","Less than or equal to Secondary school","White or of European descent","35 - 44 years old"
"62","No","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","100 to 499 employees","6-8 years","3-5 years","$100,000 - $129,999","5","1","2","1","Windows","Multiple times per day","Before 6:00 AM","Over 1 hour","Never","3 - 4 times per week","Male","Straight or heterosexual","Bachelor’s degree (BA, BS, B.Eng., etc.)","White or of European descent","25 - 34 years old"
"63","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Not related to Computer Science","20 to 99 employees","6-8 years","6-8 years","$130,000 - $159,999","6","4","more than 5 platforms","more than 3 frameworks","MacOS","Multiple times per day","After 8:01 AM","Less than 30 minutes","3 - 4 times per week","I don't typically exercise","Female","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","Others","35 - 44 years old"
"64","Yes","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer Science","10,000 or more employees","More than 20 years","More than 20 years","$100,000 - $129,999","7","5","1","2","Linux-based","Multiple times per day","Between 7:01 - 8:00 AM","Over 1 hour","1 - 2 times per week","Daily or almost every day","Others","Straight or heterosexual","Master's degree (MA, MS, M.Eng., MBA, etc.) or higher","White or of European descent","45 years or older"
